,Individual words,Occurrences
0,A,116
1,ABBOTT,1
2,ABC,1
3,ABLE,1
4,ABOUT,2
5,AENA,1
6,AFRAID,2
7,AGAIN,1
8,AGAINST,2
9,ALGERIA,1
10,ALL,5
11,ALONE,2
12,ALP,1
13,ALREADY,2
14,ALSO,1
15,ALTO,1
16,AM,6
17,AMAZING,1
18,AMERICA,1
19,AMLO,1
20,AN,17
21,AND,40
22,ANGEL,1
23,ANTIIMMIGRANT,1
24,ANYONE,1
25,ANYTHING,2
26,ARCHITECTURE,1
27,ARE,22
28,ARMS,1
29,ARMY,2
30,ARRESTED,1
31,ASSHOLE,1
32,AT,3
33,ATTENTION,1
34,AUH,1
35,Abascal,3
36,Abde,2
37,Abdo,1
38,Aberchn,1
39,About,1
40,Above,3
41,Abraham,1
42,Absolutely,1
43,Academy,2
44,Accept,1
45,According,4
46,Action,1
47,Activists,1
48,Activities,1
49,Administration,1
50,Admission,2
51,Aegean,2
52,Afghanistan,3
53,Africa,10
54,African,12
55,AfricanAmerican,2
56,Africans,11
57,Afro,1
58,After,5
59,Afternoon,1
60,Afterwards,1
61,Agency,1
62,Aggressive,1
63,Agreement,1
64,Agriculture,2
65,Aguadulce,1
66,Ah,2
67,Aha,1
68,Ahhh,1
69,Aires,5
70,Aita,1
71,Al,1
72,AlAndalus,1
73,Alba,1
74,Albert,1
75,Alboran,1
76,Ale,1
77,Alejandro,1
78,Alfonso,1
79,Algeciras,4
80,Algeria,2
81,Algerian,4
82,Alhassane,1
83,Alien,1
84,All,14
85,Allah,1
86,Allow,1
87,Almera,2
88,Almost,2
89,Almucar,1
90,Along,1
91,Already,1
92,Also,2
93,Altamira,1
94,Although,1
95,Always,3
96,Amame,1
97,Amelia,1
98,America,11
99,American,28
100,Americans,3
101,Among,2
102,Amos,1
103,Amricas,1
104,An,27
105,Ana,1
106,Anarchotyranny,1
107,Anarchy,1
108,Ancha,1
109,And,136
110,Andalusia,4
111,Andalusian,3
112,Andalusians,1
113,Andrs,2
114,Angeles,1
115,Angy,1
116,Another,15
117,Ansu,1
118,Anthemius,1
119,Any,4
120,Anyone,1
121,Anything,1
122,Anyway,5
123,Apart,1
124,Apparently,1
125,Approach,1
126,April,1
127,Arabia,1
128,Arabic,4
129,Arabs,2
130,Are,15
131,Argentina,12
132,Argentine,5
133,Argentines,4
134,Argentinians,2
135,Arguineguin,2
136,Arguinegun,8
137,Arms,1
138,Arrested,1
139,Arts,2
140,As,16
141,Asia,1
142,Asian,1
143,Asimov,1
144,Ask,3
145,Assembly,1
146,Assholes,1
147,Astoria,1
148,Asturians,1
149,Asturias,1
150,At,14
151,Atlantic,3
152,Atltico,1
153,Audiovisual,2
154,Austin,2
155,Austria,1
156,Avenida,1
157,Avenue,2
158,Avianca,1
159,Avils,1
160,Ayes,1
161,Ayoub,1
162,Ayuso,3
163,Aztec,2
164,B,1
165,BAD,2
166,BASQUE,1
167,BE,6
168,BECAUSE,2
169,BEEN,1
170,BEGIN,1
171,BEHIND,1
172,BEING,3
173,BELLOLIO,1
174,BEST,1
175,BEWARE,1
176,BIDEN,2
177,BIG,1
178,BILDU,1
179,BITCH,1
180,BJAA,1
181,BLA,1
182,BLACK,13
183,BOLIVARIAN,2
184,BOLUDO,1
185,BOSTERS,1
186,BRAVE,1
187,BREAKING,1
188,BRING,1
189,BROTHER,5
