Description,Analysis results,Description Translated,Description Cleaned Translated
"@liznorthon @SoyAIvaro @ursulaeggers @MielyMerken @AlessandriFelip Pillaron al presunto, es de nacionalidad colombiana. No es sorpresa, la violencia es parte del inmigrante de origen colombiano, es su cultura.",1,"@liznorthon @SoyAIvaro @ursulaeggers @MielyMerken @AlessandriFelip They caught the suspect, he is of Colombian nationality. It is no surprise, violence is part of the immigrant of Colombian origin, it is his culture.","They caught the suspect, he is a Colombian national. It is no surprise, violence is part of the immigrant of Colombian origin, it is his culture."
@ccarvajaly Cuando se den cuenta que eran homicidas o narco y los pillen dirán hemos dado con este inmigrante ilegal que era un delincuente.,1,"@ccarvajaly When they realize that they were murderers or drug traffickers and they are caught, they will say we have found this illegal immigrant who was a criminal.","When they realize that they were murderers or drug traffickers and they are caught, they will say we have found this illegal immigrant who was a criminal."
"@SergioChouza @santidemoreno11 Jajaajja ahí estuviste bien chouza se nota TU CABEZA DE SUDACA Y DE MAL PAGADOR,lo llevan en el ADN!!! esos papelitos para los países serios es un compromiso para vos y para los sudacas no",1,"@SergioChouza @santidemoreno11 Hahaha you were good there chouza it shows YOUR HEAD OF SUDACA AND BAD PAYMENT, they have it in their DNA!!! those pieces of paper for serious countries is a commitment for you and for the Sudacas not","Hahaha, you were good there, you can see YOUR SUDACA HEAD AND A BAD PAYER, they have it in their DNA!!! those pieces of paper for serious countries is a commitment for you and for the Sudacas not"
"Acá podemos ver a un alemán, de cabello rubio, ojos celestes, bardeando a un negro de mierda que está en su mejor momento https://t.co/XchqgGMamO",1,"Here we can see a German, with blonde hair, blue eyes, beating a shitty black man who is in his best moment https://t.co/XchqgGMamO","Here we can see a German, with blonde hair, blue eyes, beating a shitty black man who is at his best"
"@Senado_Chile Murieron 8 compatriotas por culpa de un inmigrante que nunca debió pisar Chile, y ustedes se dan el lujo de no sesionar. Por su inacción, son cómplices de esas muertes. Más mano dura con los Ilegales.

#nomasinmigracionilegal
#nuevaleydemigracion",1,"@Senado_Chile 8 compatriots died because of an immigrant who should never have set foot in Chile, and you have the luxury of not meeting. By their inaction, they are complicit in these deaths. More heavy-handed with the Illegals.

#nomasinmigracionillegal
#newmigrationlaw","8 compatriots died because of an immigrant who should never have set foot in Chile, and you have the luxury of not meeting. By their inaction, they are complicit in these deaths. More heavy-handed with the Illegals."
"Hay un negro de mierda q nos roba el foquito de afuera de casa. Si, el foquitooooo!! Q negro rata de mierda",1,"There's a shitty black guy who steals our light from outside our house. Yes, the focus!! Q black you fucking rat","There's a shitty black guy who steals our light from outside our house. Yes, the little light!! Q black you fucking rat"
@Bizco_Chuelo Que dijo el inmigrante del altiplano? Me tiene bloqueado,1,@Bizco_Chuelo What did the immigrant from the highlands say? He has me blocked,What did the immigrant from the highlands say? He has me blocked
"@ky91234567 @GobiernodeChile Da igual eran indigentes y chilenos, @GobiernodeChile le importan más inmigrantes en darles todo gratis. Así que ya saben, si los mata un inmigrante la justicia y gobierno le importará una reverenda raja. No lo olviden",1,"@ky91234567 @GobiernodeChile It doesn't matter if they were homeless and Chileans, @GobiernodeChile cares more about immigrants by giving them everything for free. So you know, if an immigrant kills you, justice and the government will not give a damn. Do not forget","It doesn't matter if they were homeless and Chileans, immigrants care more about giving them everything for free. So you know, if an immigrant kills you, justice and the government will not give a damn. Do not forget"
"Un chileno trabajador debe esperar años para poder arrendar un departamento si es que ha caído 3n dicom. Es como una condena de por vida... un inmigrante hasta se regodea con las ofertas, al dueño ahí le da lo mismo sin tienen antecedentes penales, hasta les pone alfombra roja.",1,"A working Chilean must wait years to be able to rent an apartment if he has fallen 3n dicom. It's like a life sentence... an immigrant even revels in the offers, the owner there doesn't care if they have a criminal record, he even lays out the red carpet for them.","A working Chilean must wait years to be able to rent an apartment if he has fallen 3n dicom. It's like a life sentence. .. an immigrant even revels in the offers, the owner there doesn't care if they have a criminal record, he even lays out the red carpet for them."
"El modelo de Harris es una creación de Carolina Herrera, una de las marcas más icónicas de EE UU y fundada en 1981 por una mujer venezolana, una inmigrante

Por @carmenmadi
https://t.co/jrAMfpX5I3",1,"The Harris model is a creation of Carolina Herrera, one of the most iconic brands in the United States and founded in 1981 by a Venezuelan woman, an immigrant.

By @carmenmadi
https://t.co/jrAMfpX5I3","The Harris model is a creation of Carolina Herrera, one of the most iconic brands in the United States and founded in 1981 by a Venezuelan woman, an immigrant.
By"
